scenario_id,stage,frequency_hz,load_fraction,algorithms,primary_metric,minimum_pair_count,randomization,entry_gate,status
OP05_L025,S3-S5,5,0.25,VF_FIXED|FOC_FIXED|FOC_CLASSICAL|AI_SHADOW,paired_dc_input_energy_j_at_matched_speed_and_load,5,blocked_random_order,encoder_feedback_and_current_calibration,PLANNED_SENSORLESS_DIAGNOSTIC_ONLY
OP05_L050,S3-S5,5,0.50,VF_FIXED|FOC_FIXED|FOC_CLASSICAL|AI_SHADOW,paired_dc_input_energy_j_at_matched_speed_and_load,5,blocked_random_order,encoder_feedback_and_current_calibration,PLANNED_SENSORLESS_DIAGNOSTIC_ONLY
OP05_L075,S3-S5,5,0.75,VF_FIXED|FOC_FIXED|FOC_CLASSICAL|AI_SHADOW,paired_dc_input_energy_j_at_matched_speed_and_load,5,blocked_random_order,encoder_feedback_and_current_calibration,PLANNED_SENSORLESS_DIAGNOSTIC_ONLY
OP05_L100,S3-S5,5,1.00,VF_FIXED|FOC_FIXED|FOC_CLASSICAL|AI_SHADOW,paired_dc_input_energy_j_at_matched_speed_and_load,5,blocked_random_order,encoder_feedback_and_current_calibration,PLANNED_SENSORLESS_DIAGNOSTIC_ONLY
OP15_L025,S3-S5,15,0.25,VF_FIXED|FOC_FIXED|FOC_CLASSICAL|AI_SHADOW|AI_ACTIVE|EXTREMUM_SEARCH,paired_dc_input_energy_j_at_matched_speed_and_load,5,blocked_random_order,stable_foc_and_shadow_acceptance,PLANNED
OP15_L050,S3-S5,15,0.50,VF_FIXED|FOC_FIXED|FOC_CLASSICAL|AI_SHADOW|AI_ACTIVE|EXTREMUM_SEARCH,paired_dc_input_energy_j_at_matched_speed_and_load,5,blocked_random_order,stable_foc_and_shadow_acceptance,PLANNED
OP15_L075,S3-S5,15,0.75,VF_FIXED|FOC_FIXED|FOC_CLASSICAL|AI_SHADOW|AI_ACTIVE|EXTREMUM_SEARCH,paired_dc_input_energy_j_at_matched_speed_and_load,5,blocked_random_order,stable_foc_and_shadow_acceptance,PLANNED
OP15_L100,S3-S5,15,1.00,VF_FIXED|FOC_FIXED|FOC_CLASSICAL|AI_SHADOW|AI_ACTIVE|EXTREMUM_SEARCH,paired_dc_input_energy_j_at_matched_speed_and_load,5,blocked_random_order,stable_foc_and_shadow_acceptance,PLANNED
OP30_L025,S3-S5,30,0.25,VF_FIXED|FOC_FIXED|FOC_CLASSICAL|AI_SHADOW|AI_ACTIVE|EXTREMUM_SEARCH,paired_dc_input_energy_j_at_matched_speed_and_load,5,blocked_random_order,stable_foc_and_shadow_acceptance,PLANNED
OP30_L050,S3-S5,30,0.50,VF_FIXED|FOC_FIXED|FOC_CLASSICAL|AI_SHADOW|AI_ACTIVE|EXTREMUM_SEARCH,paired_dc_input_energy_j_at_matched_speed_and_load,5,blocked_random_order,stable_foc_and_shadow_acceptance,PLANNED
OP30_L075,S3-S5,30,0.75,VF_FIXED|FOC_FIXED|FOC_CLASSICAL|AI_SHADOW|AI_ACTIVE|EXTREMUM_SEARCH,paired_dc_input_energy_j_at_matched_speed_and_load,5,blocked_random_order,stable_foc_and_shadow_acceptance,PLANNED
OP30_L100,S3-S5,30,1.00,VF_FIXED|FOC_FIXED|FOC_CLASSICAL|AI_SHADOW|AI_ACTIVE|EXTREMUM_SEARCH,paired_dc_input_energy_j_at_matched_speed_and_load,5,blocked_random_order,stable_foc_and_shadow_acceptance,PLANNED
OP50_L025,S3-S5,50,0.25,VF_FIXED|FOC_FIXED|FOC_CLASSICAL|AI_SHADOW|AI_ACTIVE|EXTREMUM_SEARCH,paired_dc_input_energy_j_at_matched_speed_and_load,5,blocked_random_order,thermal_and_voltage_margin_confirmed,PLANNED
OP50_L050,S3-S5,50,0.50,VF_FIXED|FOC_FIXED|FOC_CLASSICAL|AI_SHADOW|AI_ACTIVE|EXTREMUM_SEARCH,paired_dc_input_energy_j_at_matched_speed_and_load,5,blocked_random_order,thermal_and_voltage_margin_confirmed,PLANNED
OP50_L075,S3-S5,50,0.75,VF_FIXED|FOC_FIXED|FOC_CLASSICAL|AI_SHADOW|AI_ACTIVE|EXTREMUM_SEARCH,paired_dc_input_energy_j_at_matched_speed_and_load,5,blocked_random_order,thermal_and_voltage_margin_confirmed,PLANNED
OP50_L100,S3-S5,50,1.00,VF_FIXED|FOC_FIXED|FOC_CLASSICAL|AI_SHADOW|AI_ACTIVE|EXTREMUM_SEARCH,paired_dc_input_energy_j_at_matched_speed_and_load,5,blocked_random_order,thermal_and_voltage_margin_confirmed,PLANNED
